member_id,first_name,last_name,birth_date,sex,zip3
M000001,First1,Last1,1991-05-21,M,677
M000002,First2,Last2,1967-12-08,M,829
M000003,First3,Last3,1988-02-23,M,493
M000004,First4,Last4,1984-08-23,M,691
M000005,First5,Last5,1948-09-20,M,294
M000006,First6,Last6,1944-06-19,M,649
M000007,First7,Last7,1989-01-09,M,313
M000008,First8,Last8,1969-07-21,F,271
M000009,First9,Last9,1984-06-04,F,784
M000010,First10,Last10,1964-11-18,F,616
M000011,First11,Last11,1956-09-26,F,438
M000012,First12,Last12,1951-05-28,M,135
M000013,First13,Last13,1968-01-09,M,312
M000014,First14,Last14,2001-08-10,F,820
M000015,First15,Last15,1970-04-18,F,520
M000016,First16,Last16,1968-09-12,M,963
M000017,First17,Last17,1983-11-21,F,909
M000018,First18,Last18,2013-05-06,M,867
M000019,First19,Last19,1969-11-05,F,114
M000020,First20,Last20,1984-07-02,F,145
M000021,First21,Last21,1972-07-14,M,620
M000022,First22,Last22,1985-10-06,F,404
M000023,First23,Last23,1973-10-09,F,856
M000024,First24,Last24,1987-11-26,F,385
M000025,First25,Last25,1981-12-23,M,237
M000026,First26,Last26,1990-02-24,F,201
M000027,First27,Last27,2011-05-17,M,370
M000028,First28,Last28,1951-12-04,F,663
M000029,First29,Last29,1982-04-21,F,213
M000030,First30,Last30,1973-01-17,M,816
M000031,First31,Last31,1966-07-26,M,372
M000032,First32,Last32,1957-10-14,M,382
M000033,First33,Last33,1943-09-05,M,695
M000034,First34,Last34,1970-10-17,M,875
M000035,First35,Last35,2001-08-13,M,491
M000036,First36,Last36,1947-02-19,M,816
M000037,First37,Last37,1970-11-11,M,374
M000038,First38,Last38,2012-06-09,M,216
M000039,First39,Last39,2011-11-04,F,844
M000040,First40,Last40,1956-10-27,M,789
M000041,First41,Last41,1940-12-22,F,774
M000042,First42,Last42,1990-01-14,F,893
M000043,First43,Last43,1941-11-07,M,547
M000044,First44,Last44,1962-08-18,F,277
M000045,First45,Last45,1977-06-12,M,625
M000046,First46,Last46,2005-10-18,M,615
M000047,First47,Last47,1946-12-03,F,447
M000048,First48,Last48,1989-07-06,F,674
M000049,First49,Last49,1979-02-21,F,336
M000050,First50,Last50,1949-09-02,F,647
M000051,First51,Last51,2003-03-19,F,813
M000052,First52,Last52,2003-03-12,M,186
M000053,First53,Last53,1976-03-01,M,507
M000054,First54,Last54,2010-03-22,F,694
M000055,First55,Last55,1985-11-20,M,146
M000056,First56,Last56,2007-05-23,M,668
M000057,First57,Last57,2012-02-26,M,920
M000058,First58,Last58,1982-03-21,M,840
M000059,First59,Last59,1961-05-24,F,716
M000060,First60,Last60,1950-05-04,M,822
M000061,First61,Last61,1982-04-26,F,425
M000062,First62,Last62,1954-12-26,F,394
M000063,First63,Last63,1996-11-20,F,175
M000064,First64,Last64,2009-07-23,F,749
M000065,First65,Last65,1958-12-21,M,382
M000066,First66,Last66,1981-05-25,F,879
M000067,First67,Last67,1943-02-25,F,518
M000068,First68,Last68,1953-04-15,F,902
M000069,First69,Last69,1968-02-23,M,224
M000070,First70,Last70,2006-12-26,M,245
M000071,First71,Last71,2012-03-09,M,411
M000072,First72,Last72,1988-06-02,F,124
M000073,First73,Last73,1983-03-05,M,542
M000074,First74,Last74,1982-12-01,F,685
M000075,First75,Last75,1944-02-13,F,694
M000076,First76,Last76,1968-07-01,F,292
M000077,First77,Last77,2013-12-08,M,247
M000078,First78,Last78,1970-07-08,M,606
M000079,First79,Last79,1955-11-20,M,669
M000080,First80,Last80,1957-11-07,F,949
M000081,First81,Last81,1993-10-27,M,905
M000082,First82,Last82,1942-09-06,F,441
M000083,First83,Last83,2012-07-28,M,245
M000084,First84,Last84,2005-07-16,M,327
M000085,First85,Last85,1982-10-07,F,892
M000086,First86,Last86,1975-06-02,M,510
M000087,First87,Last87,1997-12-09,M,992
M000088,First88,Last88,1981-11-17,M,690
M000089,First89,Last89,1975-05-04,M,635
M000090,First90,Last90,1964-05-05,M,190
M000091,First91,Last91,1973-09-04,F,631
M000092,First92,Last92,1996-12-19,M,442
M000093,First93,Last93,1944-02-03,F,858
M000094,First94,Last94,1941-01-01,F,220
M000095,First95,Last95,1994-03-13,F,272
M000096,First96,Last96,1967-06-09,M,695
M000097,First97,Last97,2000-02-16,M,711
M000098,First98,Last98,1942-07-27,M,846
M000099,First99,Last99,2008-07-25,M,571
M000100,First100,Last100,1949-12-16,M,438
